Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
34,7.707,Yes,0.740,Yes,6,Yes,6.80,-173.69,-1.07,5.87,0.00,NONE,Yes,Yes,7.06,face_yolo_mediapipe,10.4,35.2,True_Positive,
35,7.883,Yes,0.764,Yes,6,Yes,9.79,-168.20,1.18,5.62,0.00,NONE,Yes,Yes,7.23,face_yolo_mediapipe,10.2,35.5,True_Positive,
36,8.050,Yes,0.758,Yes,6,Yes,22.08,-174.25,0.39,6.00,0.00,NONE,No,No,0.00,face_yolo_mediapipe,11.1,35.0,True_Positive,
37,8.226,Yes,0.769,Yes,6,Yes,14.14,-169.70,1.50,5.74,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,10.2,35.8,True_Positive,
38,8.397,Yes,0.752,Yes,6,Yes,5.72,-172.07,-0.04,5.74,0.00,NONE,Yes,No,0.18,face_yolo_mediapipe,10.4,33.7,True_Positive,
39,8.571,Yes,0.769,Yes,6,Yes,0.41,-174.86,-2.07,5.74,0.00,NONE,Yes,No,0.35,face_yolo_mediapipe,10.5,35.5,True_Positive,
40,8.744,Yes,0.762,Yes,6,Yes,12.95,-170.52,-0.09,5.87,0.00,NONE,Yes,No,0.52,face_yolo_mediapipe,10.4,35.2,True_Positive,
41,8.919,Yes,0.765,Yes,6,Yes,17.31,-172.49,0.61,6.00,0.00,NONE,Yes,No,0.69,face_yolo_mediapipe,10.2,35.1,True_Positive,
42,9.091,Yes,0.758,Yes,6,Yes,15.75,-175.42,0.16,5.74,0.00,NONE,Yes,No,0.87,face_yolo_mediapipe,10.5,34.5,True_Positive,
43,9.264,Yes,0.760,Yes,6,Yes,1.31,-175.71,-1.08,5.87,0.00,NONE,Yes,No,1.04,face_yolo_mediapipe,10.5,35.4,True_Positive,
44,9.436,Yes,0.753,Yes,6,Yes,17.04,-173.34,0.81,5.87,0.00,NONE,Yes,No,1.21,face_yolo_mediapipe,10.6,35.6,True_Positive,
45,9.612,Yes,0.761,Yes,6,Yes,23.09,-177.23,0.04,5.87,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.3,35.8,True_Positive,
46,9.786,Yes,0.760,Yes,6,Yes,27.84,-179.00,-0.11,6.00,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,36.0,True_Positive,
47,9.957,Yes,0.733,Yes,6,Yes,41.48,-174.87,0.05,6.92,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.6,34.3,True_Positive,
48,10.123,Yes,0.725,Yes,6,Yes,43.67,177.71,-3.81,6.92,0.00,NONE,No,No,0.00,face_yolo_mediapipe,11.1,33.9,True_Positive,
49,10.295,Yes,0.698,Yes,6,Yes,47.68,-178.81,-0.53,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,33.7,True_Positive,
50,10.480,Yes,0.659,Yes,6,Yes,28.47,-171.03,1.61,6.14,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh3,10.5,47.2,True_Positive,
51,10.666,Yes,0.587,Yes,6,Yes,-26.61,175.58,-176.75,7.50,0.00,NONE,No,No,0.00,face_yolo_geometric,10.5,49.0,True_Positive,
52,10.906,Yes,0.677,Yes,6,Yes,-31.76,175.57,-176.10,7.94,0.00,NONE,No,No,0.00,face_yolo_geometric,10.5,102.7,True_Positive,
53,11.089,Yes,0.646,Yes,6,Yes,53.03,164.62,168.16,7.50,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh2,10.5,46.0,True_Positive,
54,11.252,Yes,0.688,Yes,6,Yes,54.76,178.64,1.46,7.50,0.00,NONE,No,No,0.00,face_yolo_mediapipe,11.4,33.9,False_Negative,
55,11.424,Yes,0.638,Yes,6,Yes,53.12,176.48,-0.70,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.5,34.0,True_Positive,
56,11.596,Yes,0.682,Yes,6,Yes,50.31,171.60,-5.24,6.92,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.5,35.5,True_Positive,
57,11.773,Yes,0.709,Yes,6,Yes,-4.52,172.23,-5.66,10.80,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe_enh3,11.5,48.5,False_Negative,
58,11.947,Yes,0.694,Yes,6,Yes,12.85,-179.29,-7.91,10.80,0.00,NONE,Yes,No,0.18,face_yolo_mediapipe,10.5,35.7,True_Positive,
59,12.133,Yes,0.710,Yes,6,Yes,-29.91,175.14,-176.42,7.71,0.00,NONE,No,No,0.00,face_yolo_geometric,10.5,48.7,True_Positive,
60,12.315,Yes,0.691,Yes,6,Yes,50.90,158.67,-20.93,10.80,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh3,11.2,50.8,True_Positive,
61,12.489,Yes,0.662,Yes,6,Yes,49.57,154.79,-21.63,9.31,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.3,35.4,True_Positive,
62,12.651,Yes,0.693,Yes,6,Yes,53.76,152.78,-30.21,10.38,0.00,NONE,No,No,0.00,face_yolo_mediapipe,11.8,35.3,False_Positive,
63,12.834,Yes,0.652,Yes,6,Yes,50.51,170.85,173.79,8.44,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh2,10.4,44.2,True_Positive,
64,13.019,Yes,0.666,Yes,6,Yes,-18.70,169.06,178.27,12.86,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe_enh3,10.5,48.0,True_Positive,
65,13.209,Yes,0.636,Yes,6,Yes,-29.18,175.12,-176.12,7.94,0.00,NONE,No,No,0.00,face_yolo_geometric,10.1,48.6,True_Positive,
66,13.395,Yes,0.667,Yes,6,Yes,21.76,-166.04,2.41,6.14,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh3,10.6,50.2,True_Positive,
67,13.582,Yes,0.683,Yes,6,Yes,-24.88,175.34,-176.90,7.50,0.00,NONE,No,No,0.00,face_yolo_geometric,10.3,48.2,True_Positive,
68,13.766,Yes,0.673,Yes,6,Yes,-24.90,175.34,-176.90,7.50,0.00,NONE,No,No,0.00,face_yolo_geometric,10.5,46.8,True_Positive,
69,13.956,Yes,0.666,Yes,6,Yes,-24.78,175.04,-177.03,7.30,0.00,NONE,No,No,0.00,face_yolo_geometric,10.2,50.4,True_Positive,
70,14.144,Yes,0.658,Yes,6,Yes,-24.92,175.31,-176.88,7.50,0.00,NONE,No,No,0.00,face_yolo_geometric,10.4,50.4,True_Positive,
71,14.331,Yes,0.635,Yes,6,Yes,-28.92,175.03,-176.33,7.50,0.00,NONE,No,No,0.00,face_yolo_geometric,10.5,50.4,True_Positive,
72,14.509,Yes,0.616,Yes,6,Yes,42.39,-168.75,4.99,7.11,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh2,11.2,46.3,True_Positive,
73,14.685,Yes,0.648,Yes,6,Yes,45.05,179.28,2.05,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.2,36.4,True_Positive,
74,14.860,Yes,0.668,Yes,6,Yes,45.97,179.50,1.58,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.3,35.9,True_Positive,
75,15.033,Yes,0.612,Yes,6,Yes,47.12,175.87,0.60,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,35.7,True_Positive,
76,15.205,Yes,0.635,Yes,6,Yes,45.69,175.91,0.01,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.6,35.6,True_Positive,
77,15.378,Yes,0.640,Yes,6,Yes,47.66,175.50,0.30,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,34.3,True_Positive,
78,15.551,Yes,0.673,Yes,6,Yes,47.45,174.01,-2.21,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,35.4,True_Positive,
79,15.723,Yes,0.663,Yes,6,Yes,47.48,175.94,-1.91,7.30,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.6,34.5,True_Positive,
