Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
0,1.832,Yes,0.680,Yes,6,Yes,2.31,-166.01,1.15,0.71,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,4.3,1084.2,True_Positive,
1,2.079,Yes,0.677,Yes,6,Yes,5.00,-115.28,3.00,0.74,0.00,NONE,Yes,No,1.36,face_yolo_mediapipe,6.3,41.6,True_Positive,
2,2.473,Yes,0.930,Yes,6,Yes,-6.40,148.26,-177.76,0.33,0.00,NONE,Yes,No,1.61,person_box_geometric,8.1,225.9,True_Positive,
3,2.680,Yes,0.704,Yes,6,Yes,2.20,-103.85,1.57,0.91,0.00,NONE,Yes,No,2.00,face_yolo_mediapipe,7.9,38.0,True_Positive,
4,2.871,Yes,0.706,Yes,6,Yes,-3.62,-69.53,35.01,0.87,0.00,NONE,Yes,No,2.21,face_yolo_mediapipe,8.8,35.5,True_Positive,
5,3.060,Yes,0.671,Yes,6,Yes,-0.24,-84.56,8.97,0.87,0.00,NONE,Yes,No,2.40,face_yolo_mediapipe,9.0,35.1,True_Positive,
6,3.247,Yes,0.678,Yes,6,Yes,0.32,-84.39,6.20,0.99,0.00,NONE,Yes,No,2.59,face_yolo_mediapipe,9.1,35.8,True_Positive,
7,3.436,Yes,0.704,Yes,6,Yes,3.58,-99.06,5.97,1.08,0.00,NONE,Yes,No,2.77,face_yolo_mediapipe,8.9,34.7,True_Positive,
8,3.622,Yes,0.730,Yes,6,Yes,1.36,-98.03,5.19,1.12,0.00,NONE,Yes,No,2.96,face_yolo_mediapipe,9.2,35.1,True_Positive,
9,3.810,Yes,0.737,Yes,6,Yes,5.04,-99.44,9.17,1.17,0.00,NONE,Yes,Yes,3.15,face_yolo_mediapipe,9.1,35.8,True_Positive,
10,3.998,Yes,0.727,Yes,6,Yes,4.14,-97.49,9.28,1.16,0.00,NONE,Yes,Yes,3.34,face_yolo_mediapipe,9.1,36.1,True_Positive,
11,4.185,Yes,0.737,Yes,6,Yes,0.13,-84.36,5.96,1.15,0.00,NONE,Yes,Yes,3.52,face_yolo_mediapipe,9.1,35.9,True_Positive,
12,4.361,Yes,0.715,Yes,6,Yes,1.96,-176.93,4.08,1.19,0.00,NONE,Yes,Yes,3.71,face_yolo_mediapipe,10.2,35.7,True_Positive,
13,4.543,Yes,0.684,Yes,6,Yes,1.80,-175.96,3.79,1.09,0.00,NONE,Yes,Yes,3.89,face_yolo_mediapipe,9.4,34.1,True_Positive,
14,4.727,Yes,0.704,Yes,6,Yes,1.93,-160.66,5.59,1.03,0.00,NONE,Yes,Yes,4.07,face_yolo_mediapipe,9.3,34.2,True_Positive,
15,4.910,Yes,0.727,Yes,6,Yes,-1.96,-135.56,0.26,0.97,0.00,NONE,Yes,Yes,4.25,face_yolo_mediapipe,9.3,34.1,False_Positive,
16,5.094,Yes,0.741,Yes,6,Yes,-12.11,-143.60,-0.87,1.06,0.00,NONE,Yes,Yes,4.44,face_yolo_mediapipe,9.4,35.8,True_Positive,
17,5.281,Yes,0.727,Yes,6,Yes,-15.49,-147.21,-1.81,1.08,0.00,NONE,Yes,Yes,4.62,face_yolo_mediapipe,9.3,35.9,True_Positive,
18,5.465,Yes,0.691,Yes,6,Yes,-21.91,-148.19,-3.05,1.18,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.5,36.5,True_Positive,
19,5.755,Yes,0.908,Yes,6,Yes,-24.92,151.00,-165.82,0.44,0.00,NONE,No,No,0.00,person_box_geometric,9.2,138.9,True_Positive,
20,5.941,Yes,0.690,Yes,6,Yes,-30.81,-146.14,-4.12,1.43,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.5,37.5,True_Positive,
21,6.122,Yes,0.715,Yes,6,Yes,-35.68,-150.18,-2.64,1.55,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.5,34.6,True_Positive,
22,6.302,Yes,0.699,Yes,6,Yes,-41.03,-153.46,-3.19,1.70,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.6,34.6,True_Positive,
23,6.487,Yes,0.673,Yes,6,Yes,-46.98,-149.94,-7.56,1.88,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.3,36.4,True_Positive,
24,6.651,Yes,0.715,Yes,6,Yes,-53.30,-151.52,-9.19,2.18,0.00,NONE,No,No,0.00,face_yolo_mediapipe,11.7,35.9,False_Positive,
25,6.835,Yes,0.723,Yes,6,Yes,-56.82,-139.34,-17.64,2.21,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.5,36.1,True_Positive,
26,7.017,Yes,0.770,Yes,6,Yes,-32.24,118.21,-108.20,2.16,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.5,35.4,True_Positive,
27,7.202,Yes,0.722,Yes,6,Yes,-30.68,117.05,-103.53,2.14,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.4,35.8,True_Positive,
28,7.386,Yes,0.698,Yes,6,Yes,-3.12,-89.44,37.06,2.01,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,9.4,36.0,True_Positive,
29,7.566,Yes,0.734,Yes,6,Yes,-66.08,-143.70,5.30,1.79,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.6,34.8,True_Positive,
