Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
37,5.846,Yes,0.884,Yes,6,Yes,21.85,176.09,178.64,1.16,0.00,NONE,No,No,0.00,person_box_geometric,49.0,86.8,False_Positive,
38,5.976,Yes,0.876,Yes,6,Yes,7.69,176.00,179.95,1.14,0.00,NONE,Yes,No,0.00,person_box_geometric,31.4,86.7,True_Positive,
39,6.096,Yes,0.893,Yes,6,Yes,15.09,176.57,179.26,1.14,0.00,NONE,Yes,No,0.13,person_box_geometric,49.3,87.6,False_Positive,
40,6.225,Yes,0.891,Yes,6,Yes,9.18,175.65,179.71,1.12,0.00,NONE,Yes,No,0.25,person_box_geometric,31.9,86.1,True_Positive,
41,6.343,Yes,0.894,Yes,6,Yes,8.47,175.74,179.75,1.12,0.00,NONE,Yes,No,0.38,person_box_geometric,50.4,86.8,False_Positive,
42,6.472,Yes,0.890,Yes,6,Yes,14.81,176.51,179.23,1.18,0.00,NONE,Yes,No,0.50,person_box_geometric,31.1,86.0,True_Positive,
43,6.601,Yes,0.897,Yes,6,Yes,8.43,176.55,179.73,1.16,0.00,NONE,Yes,No,0.63,person_box_geometric,32.1,86.1,True_Positive,
44,6.719,Yes,0.874,Yes,6,Yes,-5.20,176.55,-179.36,1.19,0.00,NONE,Yes,No,0.75,person_box_geometric,46.2,85.5,False_Positive,
45,6.848,Yes,0.873,Yes,6,Yes,9.29,176.68,179.58,1.21,0.00,NONE,Yes,No,0.87,person_box_geometric,31.9,85.8,True_Positive,
46,6.965,Yes,0.869,Yes,6,Yes,-12.98,177.84,-178.87,1.27,0.00,NONE,Yes,No,1.00,person_box_geometric,47.2,85.9,False_Positive,
47,7.093,Yes,0.882,Yes,6,Yes,13.26,177.18,179.26,1.27,0.00,NONE,Yes,No,1.12,person_box_geometric,33.2,86.5,True_Positive,
48,7.209,Yes,0.882,Yes,6,Yes,3.59,176.99,179.92,1.30,0.00,NONE,Yes,No,1.25,person_box_geometric,49.7,85.9,False_Positive,
49,7.336,Yes,0.898,Yes,6,Yes,3.28,174.71,179.91,1.25,0.00,NONE,Yes,No,1.36,person_box_geometric,33.2,85.9,True_Positive,
