Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
35,11.792,Yes,0.846,Yes,6,Yes,3.81,153.79,179.55,0.37,0.00,NONE,Yes,Yes,4.76,person_box_geometric,10.6,142.3,False_Positive,
36,12.071,Yes,0.000,Yes,6,Yes,-5.59,159.25,-145.52,1.64,0.00,NONE,Yes,Yes,5.04,person_box_mediapipe,10.2,140.6,True_Positive,
37,12.259,Yes,0.659,Yes,6,Yes,27.86,-158.32,-15.83,1.20,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh2,10.4,50.6,False_Positive,
38,12.446,Yes,0.680,Yes,6,Yes,-18.83,179.46,144.92,1.06,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,9.2,36.4,True_Positive,
39,12.718,Yes,0.837,Yes,6,Yes,-16.73,155.71,-169.82,0.42,0.00,NONE,Yes,No,0.19,person_box_geometric,10.6,137.4,False_Positive,
40,12.932,Yes,0.666,Yes,6,Yes,29.56,-136.82,-14.64,1.67,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh3,9.2,64.7,True_Positive,
41,13.218,Yes,0.842,Yes,6,Yes,5.33,149.16,178.23,0.34,0.00,NONE,Yes,No,0.00,person_box_geometric,10.5,148.8,False_Positive,
42,13.427,Yes,0.662,Yes,6,Yes,45.58,-117.74,-7.04,2.18,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh3,9.3,61.6,True_Positive,
43,13.716,Yes,0.870,Yes,6,Yes,5.12,147.16,178.25,0.33,0.00,NONE,Yes,No,0.00,person_box_geometric,10.5,152.2,False_Positive,
44,14.014,Yes,0.866,Yes,6,Yes,6.29,148.37,177.87,0.33,0.00,NONE,Yes,No,0.29,person_box_geometric,9.4,150.5,True_Positive,
45,14.210,Yes,0.555,Yes,6,Yes,-11.13,128.93,-174.19,1.50,0.00,NONE,Yes,No,0.59,face_yolo_geometric,10.5,58.7,False_Positive,
46,14.412,Yes,0.589,Yes,6,Yes,-11.40,133.40,-174.24,1.71,0.00,NONE,Yes,No,0.78,face_yolo_geometric,9.3,54.5,True_Positive,
47,14.694,Yes,0.889,Yes,6,Yes,9.96,149.71,176.39,0.35,0.00,NONE,Yes,No,0.98,person_box_geometric,10.7,147.2,False_Positive,
48,14.978,Yes,0.901,Yes,6,Yes,10.52,149.95,176.15,0.35,0.00,NONE,Yes,No,1.27,person_box_geometric,10.4,147.1,True_Positive,
49,15.259,Yes,0.904,Yes,6,Yes,11.21,151.25,175.98,0.36,0.00,NONE,Yes,No,1.55,person_box_geometric,10.6,144.4,False_Positive,
50,15.550,Yes,0.894,Yes,6,Yes,11.28,150.93,175.87,0.36,0.00,NONE,Yes,No,1.83,person_box_geometric,9.4,143.3,True_Positive,
51,15.827,Yes,0.900,Yes,6,Yes,9.76,152.35,176.76,0.37,0.00,NONE,Yes,No,2.12,person_box_geometric,10.8,143.6,False_Positive,
52,16.119,Yes,0.899,Yes,6,Yes,5.93,154.54,178.78,0.37,0.00,NONE,Yes,No,2.40,person_box_geometric,9.4,145.0,True_Positive,
53,16.398,Yes,0.890,Yes,6,Yes,-5.24,157.45,-176.02,0.39,0.00,NONE,Yes,No,2.69,person_box_geometric,10.6,142.5,False_Positive,
54,16.690,Yes,0.884,Yes,6,Yes,-6.07,157.95,-175.78,0.39,0.00,NONE,Yes,No,2.97,person_box_geometric,9.5,146.3,True_Positive,
55,16.971,Yes,0.886,Yes,6,Yes,-5.64,157.66,-176.06,0.39,0.00,NONE,Yes,Yes,3.26,person_box_geometric,10.6,144.7,False_Positive,
56,17.264,Yes,0.877,Yes,6,Yes,-9.47,158.09,-174.49,0.40,0.00,NONE,Yes,Yes,3.54,person_box_geometric,9.3,144.5,True_Positive,
57,17.542,Yes,0.888,Yes,6,Yes,-14.21,158.53,-172.48,0.42,0.00,NONE,Yes,Yes,3.84,person_box_geometric,10.6,142.3,False_Positive,
58,17.830,Yes,0.887,Yes,6,Yes,-16.47,158.63,-171.62,0.43,0.00,NONE,Yes,Yes,4.11,person_box_geometric,9.6,142.5,True_Positive,
59,18.108,Yes,0.882,Yes,6,Yes,-15.84,159.30,-172.18,0.43,0.00,NONE,Yes,Yes,4.40,person_box_geometric,10.7,143.2,False_Positive,
60,18.393,Yes,0.870,Yes,6,Yes,-16.45,159.45,-172.02,0.44,0.00,NONE,Yes,Yes,4.68,person_box_geometric,10.1,144.8,True_Positive,
61,18.670,Yes,0.872,Yes,6,Yes,-17.89,159.41,-171.50,0.44,0.00,NONE,Yes,Yes,4.97,person_box_geometric,10.7,143.4,False_Positive,
62,18.957,Yes,0.881,Yes,6,Yes,-19.78,159.57,-170.90,0.45,0.00,NONE,Yes,Yes,5.24,person_box_geometric,9.7,142.6,True_Positive,
63,19.234,Yes,0.883,Yes,6,Yes,-21.74,158.31,-169.67,0.46,0.00,NONE,No,No,0.00,person_box_geometric,10.6,141.2,False_Positive,
64,19.522,Yes,0.898,Yes,6,Yes,-22.96,158.99,-169.55,0.47,0.00,NONE,No,No,0.00,person_box_geometric,9.5,141.4,True_Positive,
65,19.798,Yes,0.899,Yes,6,Yes,-23.11,158.67,-169.36,0.47,0.00,NONE,No,No,0.00,person_box_geometric,10.6,140.6,False_Positive,
66,20.082,Yes,0.888,Yes,6,Yes,-23.86,158.70,-169.04,0.47,0.00,NONE,No,No,0.00,person_box_geometric,9.6,139.1,True_Positive,
67,20.355,Yes,0.904,Yes,6,Yes,-23.24,159.66,-169.79,0.47,0.00,NONE,No,No,0.00,person_box_geometric,10.8,139.7,False_Positive,
68,20.639,Yes,0.912,Yes,6,Yes,-22.94,159.75,-170.02,0.47,0.00,NONE,No,No,0.00,person_box_geometric,9.5,138.3,True_Positive,
69,20.911,Yes,0.909,Yes,6,Yes,-22.92,160.33,-170.39,0.47,0.00,NONE,No,No,0.00,person_box_geometric,10.9,137.9,False_Positive,
70,21.193,Yes,0.911,Yes,6,Yes,-21.99,160.67,-171.00,0.47,0.00,NONE,No,No,0.00,person_box_geometric,9.6,137.0,True_Positive,
71,21.466,Yes,0.905,Yes,6,Yes,-23.10,160.63,-170.57,0.47,0.00,NONE,No,No,0.00,person_box_geometric,10.6,137.1,False_Positive,
