Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
34,3.643,Yes,0.801,Yes,6,Yes,-14.74,-178.29,-0.61,2.22,0.00,NONE,Yes,No,0.44,face_yolo_mediapipe,35.7,36.5,True_Positive,
35,3.717,Yes,0.783,Yes,6,Yes,-13.60,-177.70,-1.21,2.26,0.00,NONE,Yes,No,0.52,face_yolo_mediapipe,34.8,36.0,True_Positive,
36,3.792,Yes,0.785,Yes,6,Yes,-15.18,-176.82,-1.60,2.24,0.00,NONE,Yes,No,0.59,face_yolo_mediapipe,34.5,35.5,True_Positive,
37,3.853,Yes,0.776,Yes,6,Yes,-15.08,-177.49,-1.42,2.22,0.00,NONE,Yes,No,0.66,face_yolo_mediapipe,59.7,35.1,False_Negative,
38,3.926,Yes,0.796,Yes,6,Yes,-15.38,-175.81,-1.55,2.24,0.00,NONE,Yes,No,0.73,face_yolo_mediapipe,35.8,35.0,True_Positive,
39,4.001,Yes,0.783,Yes,6,Yes,-14.54,-176.80,-1.42,2.24,0.00,NONE,Yes,No,0.80,face_yolo_mediapipe,34.7,35.9,True_Positive,
40,4.075,Yes,0.781,Yes,6,Yes,-18.07,-176.42,-1.86,2.29,0.00,NONE,Yes,No,0.87,face_yolo_mediapipe,35.2,35.8,True_Positive,
41,4.149,Yes,0.786,Yes,6,Yes,-14.58,-176.20,-1.67,2.24,0.00,NONE,Yes,No,0.95,face_yolo_mediapipe,34.8,36.2,True_Positive,
42,4.223,Yes,0.785,Yes,6,Yes,-17.38,-176.17,-2.12,2.26,0.00,NONE,Yes,No,1.02,face_yolo_mediapipe,35.0,35.4,True_Positive,
43,4.298,Yes,0.784,Yes,6,Yes,-15.96,-175.25,-2.43,2.26,0.00,NONE,Yes,No,1.10,face_yolo_mediapipe,35.2,36.4,True_Positive,
44,4.372,Yes,0.762,Yes,6,Yes,-16.97,-175.67,-3.27,2.24,0.00,NONE,Yes,No,1.17,face_yolo_mediapipe,35.5,35.5,True_Positive,
45,4.444,Yes,0.751,Yes,6,Yes,-18.90,-175.40,-3.14,2.24,0.00,NONE,Yes,No,1.24,face_yolo_mediapipe,35.9,35.0,True_Positive,
46,4.517,Yes,0.758,Yes,6,Yes,-18.84,-176.06,-3.60,2.26,0.00,NONE,Yes,No,1.32,face_yolo_mediapipe,36.0,34.9,True_Positive,
47,4.591,Yes,0.776,Yes,6,Yes,-19.09,-176.01,-4.06,2.26,0.00,NONE,Yes,No,1.39,face_yolo_mediapipe,35.2,35.9,True_Positive,
48,4.667,Yes,0.779,Yes,6,Yes,-17.14,-174.92,-3.32,2.26,0.00,NONE,Yes,No,1.47,face_yolo_mediapipe,34.8,36.3,True_Positive,
49,4.739,Yes,0.775,Yes,6,Yes,-18.15,-174.82,-4.54,2.24,0.00,NONE,Yes,No,1.54,face_yolo_mediapipe,36.9,35.9,True_Positive,
50,4.812,Yes,0.771,Yes,6,Yes,-17.53,-174.33,-3.94,2.24,0.00,NONE,Yes,No,1.61,face_yolo_mediapipe,36.3,35.3,True_Positive,
51,4.885,Yes,0.774,Yes,6,Yes,-17.04,-175.71,-3.85,2.24,0.00,NONE,Yes,No,1.69,face_yolo_mediapipe,36.2,35.3,True_Positive,
52,4.958,Yes,0.761,Yes,6,Yes,-16.39,-174.42,-3.87,2.26,0.00,NONE,Yes,No,1.76,face_yolo_mediapipe,36.4,35.2,True_Positive,
53,5.030,Yes,0.764,Yes,6,Yes,-18.82,-175.76,-3.73,2.24,0.00,NONE,Yes,No,1.83,face_yolo_mediapipe,36.5,35.1,True_Positive,
54,5.102,Yes,0.750,Yes,6,Yes,-17.83,-176.20,-3.51,2.26,0.00,NONE,Yes,No,1.90,face_yolo_mediapipe,36.3,35.2,True_Positive,
55,5.217,Yes,0.776,Yes,6,Yes,-18.83,-176.29,-4.07,2.24,0.00,NONE,Yes,No,1.98,face_yolo_mediapipe,57.3,86.9,False_Negative,
56,5.290,Yes,0.762,Yes,6,Yes,-17.03,-175.60,-3.72,2.26,0.00,NONE,Yes,No,2.09,face_yolo_mediapipe,35.2,35.7,True_Positive,
57,5.363,Yes,0.749,Yes,6,Yes,-16.36,-176.42,-3.19,2.24,0.00,NONE,Yes,No,2.16,face_yolo_mediapipe,35.5,34.8,True_Positive,
58,5.436,Yes,0.770,Yes,6,Yes,-17.70,-176.03,-3.71,2.24,0.00,NONE,Yes,No,2.24,face_yolo_mediapipe,35.7,35.4,True_Positive,
59,5.511,Yes,0.774,Yes,6,Yes,-17.69,-175.11,-3.59,2.26,0.00,NONE,Yes,No,2.31,face_yolo_mediapipe,35.2,35.9,True_Positive,
60,5.585,Yes,0.762,Yes,6,Yes,-17.00,-175.10,-3.11,2.26,0.00,NONE,Yes,No,2.38,face_yolo_mediapipe,35.0,35.6,True_Positive,
61,5.657,Yes,0.772,Yes,6,Yes,-17.27,-176.32,-3.10,2.24,0.00,NONE,Yes,No,2.46,face_yolo_mediapipe,37.6,35.3,True_Positive,
